row_count,gb_char,utf_bytes,unicode_id,unknown
2085,歹,B4F5,6B79,E6ADB9
2086,傣,B4F6,50A3,E582A3
2087,戴,B4F7,6234,E688B4
2088,带,B4F8,5E26,E5B8A6
2089,殆,B4F9,6B86,E6AE86
2090,代,B4FA,4EE3,E4BBA3
2091,贷,B4FB,8D37,E8B4B7
2092,袋,B4FC,888B,E8A28B
2093,待,B4FD,5F85,E5BE85
2094,逮,B4FE,902E,E980AE
2101,怠,B5A1,6020,E680A0
2102,耽,B5A2,803D,E880BD
2103,担,B5A3,62C5,E68B85
2104,丹,B5A4,4E39,E4B8B9
2105,单,B5A5,5355,E58D95
2106,郸,B5A6,90F8,E983B8
2107,掸,B5A7,63B8,E68EB8
2108,胆,B5A8,80C6,E88386
2109,旦,B5A9,65E6,E697A6
2110,氮,B5AA,6C2E,E6B0AE
2111,但,B5AB,4F46,E4BD86
2112,惮,B5AC,60EE,E683AE
2113,淡,B5AD,6DE1,E6B7A1
2114,诞,B5AE,8BDE,E8AF9E
2115,弹,B5AF,5F39,E5BCB9
2116,蛋,B5B0,86CB,E89B8B
2117,当,B5B1,5F53,E5BD93
2118,挡,B5B2,6321,E68CA1
2119,党,B5B3,515A,E5859A
2120,荡,B5B4,8361,E88DA1
2121,档,B5B5,6863,E6A1A3
2122,刀,B5B6,5200,E58880
2123,捣,B5B7,6363,E68DA3
2124,蹈,B5B8,8E48,E8B988
2125,倒,B5B9,5012,E58092
2126,岛,B5BA,5C9B,E5B29B
2127,祷,B5BB,7977,E7A5B7
2128,导,B5BC,5BFC,E5AFBC
2129,到,B5BD,5230,E588B0
2130,稻,B5BE,7A3B,E7A8BB
2131,悼,B5BF,60BC,E682BC
2132,道,B5C0,9053,E98193
2133,盗,B5C1,76D7,E79B97
2134,德,B5C2,5FB7,E5BEB7
2135,得,B5C3,5F97,E5BE97
2136,的,B5C4,7684,E79A84
2137,蹬,B5C5,8E6C,E8B9AC
2138,灯,B5C6,706F,E781AF
2139,登,B5C7,767B,E799BB
2140,等,B5C8,7B49,E7AD89
2141,瞪,B5C9,77AA,E79EAA
2142,凳,B5CA,51F3,E587B3
2143,邓,B5CB,9093,E98293
2144,堤,B5CC,5824,E5A0A4
2145,低,B5CD,4F4E,E4BD8E
2146,滴,B5CE,6EF4,E6BBB4
2147,迪,B5CF,8FEA,E8BFAA
2148,敌,B5D0,654C,E6958C
2149,笛,B5D1,7B1B,E7AC9B
2150,狄,B5D2,72C4,E78B84
2151,涤,B5D3,6DA4,E6B6A4
2152,翟,B5D4,7FDF,E7BF9F
2153,嫡,B5D5,5AE1,E5ABA1
2154,抵,B5D6,62B5,E68AB5
2155,底,B5D7,5E95,E5BA95
2156,地,B5D8,5730,E59CB0
2157,蒂,B5D9,8482,E89282
2158,第,B5DA,7B2C,E7ACAC
2159,帝,B5DB,5E1D,E5B89D
2160,弟,B5DC,5F1F,E5BC9F
2161,递,B5DD,9012,E98092
2162,缔,B5DE,7F14,E7BC94
2163,颠,B5DF,98A0,E9A2A0
2164,掂,B5E0,6382,E68E82
2165,滇,B5E1,6EC7,E6BB87
2166,碘,B5E2,7898,E7A298
2167,点,B5E3,70B9,E782B9
2168,典,B5E4,5178,E585B8
2169,靛,B5E5,975B,E99D9B
2170,垫,B5E6,57AB,E59EAB
2171,电,B5E7,7535,E794B5
2172,佃,B5E8,4F43,E4BD83
2173,甸,B5E9,7538,E794B8
2174,店,B5EA,5E97,E5BA97
2175,惦,B5EB,60E6,E683A6
2176,奠,B5EC,5960,E5A5A0
2177,淀,B5ED,6DC0,E6B780
2178,殿,B5EE,6BBF,E6AEBF
2179,碉,B5EF,7889,E7A289
2180,叼,B5F0,53FC,E58FBC
2181,雕,B5F1,96D5,E99B95
2182,凋,B5F2,51CB,E5878B
2183,刁,B5F3,5201,E58881
2184,掉,B5F4,6389,E68E89
2185,吊,B5F5,540A,E5908A
2186,钓,B5F6,9493,E99293
2187,调,B5F7,8C03,E8B083
2188,跌,B5F8,8DCC,E8B78C
2189,爹,B5F9,7239,E788B9
2190,碟,B5FA,789F,E7A29F
2191,蝶,B5FB,8776,E89DB6
2192,迭,B5FC,8FED,E8BFAD
2193,谍,B5FD,8C0D,E8B08D
2194,叠,B5FE,53E0,E58FA0
2201,丁,B6A1,4E01,E4B881
2202,盯,B6A2,76EF,E79BAF
2203,叮,B6A3,53EE,E58FAE
2204,钉,B6A4,9489,E99289
2205,顶,B6A5,9876,E9A1B6
2206,鼎,B6A6,9F0E,E9BC8E
2207,锭,B6A7,952D,E994AD
2208,定,B6A8,5B9A,E5AE9A
2209,订,B6A9,8BA2,E8AEA2
2210,丢,B6AA,4E22,E4B8A2
2211,东,B6AB,4E1C,E4B89C
2212,冬,B6AC,51AC,E586AC
2213,董,B6AD,8463,E891A3
2214,懂,B6AE,61C2,E68782
2215,动,B6AF,52A8,E58AA8
2216,栋,B6B0,680B,E6A08B
2217,侗,B6B1,4F97,E4BE97
2218,恫,B6B2,606B,E681AB
2219,冻,B6B3,51BB,E586BB
2220,洞,B6B4,6D1E,E6B49E
2221,兜,B6B5,515C,E5859C
2222,抖,B6B6,6296,E68A96
2223,斗,B6B7,6597,E69697
2224,陡,B6B8,9661,E999A1
2225,豆,B6B9,8C46,E8B186
2226,逗,B6BA,9017,E98097
2227,痘,B6BB,75D8,E79798
2228,都,B6BC,90FD,E983BD
2229,督,B6BD,7763,E79DA3
2230,毒,B6BE,6BD2,E6AF92
2231,犊,B6BF,728A,E78A8A
2232,独,B6C0,72EC,E78BAC
2233,读,B6C1,8BFB,E8AFBB
2234,堵,B6C2,5835,E5A0B5
2235,睹,B6C3,7779,E79DB9
2236,赌,B6C4,8D4C,E8B58C
2237,杜,B6C5,675C,E69D9C
2238,镀,B6C6,9540,E99580
2239,肚,B6C7,809A,E8829A
2240,度,B6C8,5EA6,E5BAA6
2241,渡,B6C9,6E21,E6B8A1
2242,妒,B6CA,5992,E5A692
2243,端,B6CB,7AEF,E7ABAF
2244,短,B6CC,77ED,E79FAD
2245,锻,B6CD,953B,E994BB
2246,段,B6CE,6BB5,E6AEB5
2247,断,B6CF,65AD,E696AD
2248,缎,B6D0,7F0E,E7BC8E
2249,堆,B6D1,5806,E5A086
2250,兑,B6D2,5151,E58591
2251,队,B6D3,961F,E9989F
2252,对,B6D4,5BF9,E5AFB9
2253,墩,B6D5,58A9,E5A2A9
2254,吨,B6D6,5428,E590A8
2255,蹲,B6D7,8E72,E8B9B2
2256,敦,B6D8,6566,E695A6
2257,顿,B6D9,987F,E9A1BF
2258,囤,B6DA,56E4,E59BA4
2259,钝,B6DB,949D,E9929D
2260,盾,B6DC,76FE,E79BBE
2261,遁,B6DD,9041,E98181
2262,掇,B6DE,6387,E68E87
2263,哆,B6DF,54C6,E59386
2264,多,B6E0,591A,E5A49A
2265,夺,B6E1,593A,E5A4BA
2266,垛,B6E2,579B,E59E9B
2267,躲,B6E3,8EB2,E8BAB2
2268,朵,B6E4,6735,E69CB5
2269,跺,B6E5,8DFA,E8B7BA
2270,舵,B6E6,8235,E888B5
2271,剁,B6E7,5241,E58981
2272,惰,B6E8,60F0,E683B0
2273,堕,B6E9,5815,E5A095
2274,蛾,B6EA,86FE,E89BBE
2275,峨,B6EB,5CE8,E5B3A8
2276,鹅,B6EC,9E45,E9B985
2277,俄,B6ED,4FC4,E4BF84
2278,额,B6EE,989D,E9A29D
2279,讹,B6EF,8BB9,E8AEB9
2280,娥,B6F0,5A25,E5A8A5
2281,恶,B6F1,6076,E681B6
2282,厄,B6F2,5384,E58E84
2283,扼,B6F3,627C,E689BC
2284,遏,B6F4,904F,E9818F
2285,鄂,B6F5,9102,E98482
2286,饿,B6F6,997F,E9A5BF
2287,恩,B6F7,6069,E681A9
2288,而,B6F8,800C,E8808C
